Repository 1	Repository 2	# people
[spotify / elitzur]	[spotify / ratatool]	6
[spotify / confidence-sdk-java]	[spotify / confidence-sdk-android]	4
[spotify / confidence-sdk-js]	[spotify / confidence-sdk-android]	4
[spotify / magnolify]	[spotify / scio]	4
[spotify / scio]	[spotify / dbeam]	4
[spotify / confidence-sdk-js]	[spotify / confidence-sdk-java]	4
[spotify / scio-idea-plugin]	[spotify / elitzur]	2
[spotify / pedalboard]	[spotify / basic-pitch]	2
[spotify / gcs-tools]	[spotify / scio]	2
[spotify / confidence-sdk-python]	[spotify / confidence-sdk-android]	2
[spotify / confidence-sdk-python]	[spotify / confidence-sdk-go]	2
[spotify / scio-idea-plugin]	[spotify / ratatool]	2
[spotify / confidence-sdk-js]	[spotify / confidence-sdk-go]	2
[spotify / confidence-sdk-go]	[spotify / confidence-sdk-android]	2
[spotify / confidence-sdk-swift]	[spotify / confidence-sdk-java]	2
[spotify / magnolify]	[spotify / scio-idea-plugin]	2
[spotify / scio-idea-plugin]	[spotify / scio]	2
[spotify / magnolify]	[spotify / ratatool]	2
[spotify / scio]	[spotify / basic-pitch]	2
[spotify / confidence-sdk-swift]	[spotify / confidence-sdk-python]	2
[spotify / confidence-sdk-swift]	[spotify / confidence-sdk-js]	2
[spotify / magnolify]	[spotify / dbeam]	2
[spotify / confidence-sdk-python]	[spotify / confidence-sdk-java]	2
[spotify / scio]	[spotify / ratatool]	2
[spotify / gcs-tools]	[spotify / scio-idea-plugin]	2
[spotify / magnolify]	[spotify / elitzur]	2
[spotify / confidence-sdk-js]	[spotify / confidence-sdk-python]	2
[spotify / confidence-sdk-android]	[spotify / confidence-sdk-swift]	2
[spotify / confidence-sdk-java]	[spotify / confidence-sdk-go]	2
[spotify / gcs-tools]	[spotify / ratatool]	2
[spotify / pedalboard]	[spotify / scio]	2
[spotify / magnolify]	[spotify / gcs-tools]	2
[spotify / elitzur]	[spotify / scio]	2
[spotify / gcs-tools]	[spotify / elitzur]	2
